Candidat de regroupement	Fréquence	Spécificité	Variantes orthographiques	Matrice
equilibrio general	6	12.45	equilibrio general	Nom Adjectif
cíclicas	6	12.45	cíclicas	Adjectif
nuestra	4	12.36	nuestra	Verbe
consumo público	4	12.36	consumo público	Nom Adjectif
calculará	4	12.36	calculará	Verbe
lector	4	12.36	lectores	Adjectif
productor individual	4	12.36	productor individual	Nom Adjectif
crecimiento significativo	4	12.36	crecimiento significativo	Nom Adjectif
autocráticos	4	12.36	autocráticos	Nom
señor feudales	4	12.36	señores feudales	Nom Adjectif
inversión global	4	12.36	inversión global	Nom Adjectif
inferir	8	12.36	inferir	Verbe
cantidad de empleo	4	12.36	cantidad de empleo	Nom Préposition Nom
relatividad	4	12.36	relatividad	Nom
irrelevancia	4	12.36	irrelevancia	Nom
período siguiente	4	12.36	período siguiente	Nom Adjectif
laissez	4	12.36	laissez	Nom
política flexible	4	12.36	política flexible___políticas flexibles	Nom Adjectif
producto de inversión	4	12.36	productos de inversión	Nom Préposition Nom
intersección	8	12.36	intersección	Nom
unidad de producto	4	12.36	unidad de producto___unidades de producto	Nom Préposition Nom
doctrinario	4	12.36	doctrinarios	Adjectif
fuente estadístico	4	12.36	fuentes estadísticas	Nom Adjectif
reducción de salario	4	12.36	reducción de salarios___reducciones de salarios	Nom Préposition Nom
inversamente	8	12.36	inversamente	Adverbe
bajista	4	12.36	bajista	Adjectif
expresará	8	12.36	expresará	Verbe
inversión existente	4	12.36	inversiones existentes	Nom Adjectif
proceso de educación	4	12.36	proceso de educación	Nom Préposition Nom
importación de bien	4	12.36	importación de bienes___importaciones de bienes	Nom Préposition Nom
bien industrial	4	12.36	bienes industriales	Nom Adjectif
dividir	30	12.32	dividir___dividirá___dividen___dividimos	Verbe
razonamiento	24	12.28	razonamiento___razonamientos	Nom
cliente	40	12.25	cliente___clientes	Nom
año precedente	8	12.17	año precedente___años precedentes	Nom Adjectif
fertilidad	8	12.17	fertilidad	Nom
especulador	12	12.16	especulador___especuladores	Nom
filósofo	12	12.16	filósofos	Nom
falacia	6	12.12	falacia	Nom
elevar	42	12.1	elevar___eleva___elevaron	Verbe
relativamente	53	12.09	relativamente	Adverbe
cotización	26	12.01	cotización___cotizaciones	Nom
acumulativo	8	11.99	acumulativo___acumulativa	Adjectif
política laboral	8	11.99	política laboral___políticas laborales	Nom Adjectif
apéndice	12	11.99	apéndice	Nom
nivel medio	8	11.99	nivel medio	Nom Adjectif
impracticable	8	11.99	impracticable	Adjectif
tecnología	118	11.89	tecnología___tecnologías	Nom
explicativo	10	11.87	explicativa___explicativas	Adjectif
imperfecto	12	11.83	imperfecta	Adjectif
sector público	36	11.81	sector público	Nom Adjectif
comprador	18	11.8	comprador___compradora___compradoras	Nom
interbancarios	6	11.8	interbancarios	Adjectif
sentido	271	11.79	sentido___sentidos	Nom
técnica	50	11.76	técnica___técnicas	Nom
caso especial	12	11.75	caso especial___casos especiales	Nom Adjectif
predominio	12	11.75	predominio	Nom
llamar	108	11.75	llamar___llaman___llamarlo___llamamos___llamemos___llamaríamos	Verbe
funcionario público	8	11.65	funcionario público___funcionarios públicos	Nom Adjectif
nivel bajo	8	11.65	nivel bajo	Nom Adjectif
cifra cercano	4	11.62	cifra cercana	Nom Adjectif
balanza por cuenta corriente	4	11.62	balanza por cuenta corriente	Nom Préposition Nom Adjectif
inteligencias	4	11.62	inteligencias	Nom
simplifiquemos	4	11.62	simplifiquemos	Verbe
salida de emergencia	4	11.62	salida de emergencia	Nom Préposition Nom
propiedad estatal	4	11.62	propiedad estatal	Nom Adjectif
formación de capital	4	11.62	formación de capital	Nom Préposition Nom
dinastía	4	11.62	dinastía	Nom
introducción de nueva	4	11.62	introducción de nuevas	Nom Préposition Nom
desdeñar	4	11.62	desdeñar	Verbe
tipo particular	4	11.62	tipo particular	Nom Adjectif
deleite	4	11.62	deleite	Nom
cambio futuro	4	11.62	cambios futuros	Nom Adjectif
manera semejante	4	11.62	manera semejante	Nom Adjectif
reserva federal	7	11.58	reserva federal	Nom Adjectif
exportación	93	11.56	exportación___exportaciones	Nom
tesoro	10	11.55	tesoro	Nom
iglesia	26	11.55	iglesia	Nom
balanza	22	11.53	balanza	Nom
diviso	5	11.48	divisa___divisas	Adjectif
imposición directo	5	11.48	imposición directa	Nom Adjectif
resultado	258	11.47	resultado___resultados	Nom
explicar	89	11.46	explicar___explicará___explicó___expliqué	Verbe
abstracción	9	11.45	abstracción	Nom
integración	127	11.44	integración	Nom
necesariamente	50	11.42	necesariamente	Adverbe
capitalista	20	11.36	capitalista___capitalistas	Adjectif
posterior	55	11.32	posterior___posteriores	Adjectif
robusto	6	11.24	robusto___robusta	Adjectif
crecimiento medio	6	11.24	crecimiento medio	Nom Adjectif
stocks	10	11.24	stocks	Nom
inglés	32	11.21	inglés___inglesa___ingleses	Adjectif
city	3	11.19	city	Nom
diferencial de precio	3	11.19	diferencial de precios	Nom Préposition Nom
cifró	3	11.19	cifró	Verbe
ritmo de reducción	3	11.19	ritmo de reducción	Nom Préposition Nom
vivo voz	3	11.19	viva voz	Nom Nom
ingeniero	12	11.16	ingeniero___ingenieros	Nom
descender	16	11.14	descender___descenderá___descendiera___descienda	Verbe
disponible	70	11.12	disponible___disponibles	Adjectif
conjunto	173	11.11	conjunto___conjuntos	Nom
sentido opuesto	5	11.09	sentido opuesto	Nom Adjectif
condición general	10	11.05	condiciones generales	Nom Adjectif
característica	57	11.01	característica___características	Nom
esquemático	4	10.99	esquemática	Adjectif
educarse	4	10.99	educarse	Verbe
precio unitario	4	10.99	precio unitario	Nom Adjectif
disipa	4	10.99	disipa	Verbe
mano de obra disponible	4	10.99	mano de obra disponible	Nom Préposition Nom Adjectif
mutatis mutandis	4	10.99	mutatis mutandis	Nom Nom
aumento neto	4	10.99	aumento neto	Nom Adjectif
tiempo anterior	4	10.99	tiempo anterior___tiempos anteriores	Nom Adjectif
econométrico	4	10.99	econométrico	Nom
integración comercial	4	10.99	integración comercial	Nom Adjectif
partida relativo	4	10.99	partida relativa___partidas relativas	Nom Adjectif
ahorrador	4	10.99	ahorrador	Nom
subestimación	4	10.99	subestimación	Nom
intervencionismo estatal	4	10.99	intervencionismo estatal	Nom Adjectif
esquema general	4	10.99	esquema general___esquemas generales	Nom Adjectif
regla de procedimiento	4	10.99	reglas de procedimiento	Nom Préposition Nom
marxistas	4	10.99	marxistas	Nom
aumento de salario	4	10.99	aumento de salarios___aumentos de salarios	Nom Préposition Nom
posición de equilibrio	4	10.99	posición de equilibrio	Nom Préposition Nom
rémora	4	10.99	rémora	Nom
relación de intercambio	4	10.99	relación de intercambio	Nom Préposition Nom
renta nacional	6	10.98	renta nacional	Nom Adjectif
prólogo	6	10.98	prólogo	Nom
ala izquierdo	6	10.98	ala izquierda	Nom Adjectif
sistema abierto	6	10.98	sistema abierto	Nom Adjectif
favorable	79	10.97	favorable___favorables	Adjectif
libro	109	10.97	libro___libros	Nom
ocurrir	116	10.96	ocurrir___ocurrió___ocurrirán	Verbe
subastar	20	10.9	subastas	Verbe
flujo de capital	8	10.89	flujos de capital	Nom Préposition Nom
notable	40	10.88	notable___notables	Adjectif
recuperación	45	10.88	recuperación	Nom
corriente	39	10.84	corriente___corrientes	Nom
psicológico	22	10.79	psicológico___psicológica___psicológicas	Adjectif
industrial	86	10.78	industrial___industriales	Adjectif
cifra	83	10.78	cifra___cifras	Nom
artificio	6	10.74	artificio	Nom
decimal	5	10.74	decimales	Adjectif
simpatizar	6	10.74	simpatizar___simpatizaban	Verbe
fim internacional	2	10.69	fim internacional	Nom Adjectif
cuestión de tipo normativo	2	10.69	cuestiones de tipo normativo	Nom Préposition Nom Adjectif
macrodinámica estadístico	2	10.69	macrodinámica estadística	Nom Adjectif
confinaron	2	10.69	confinaron	Verbe
serie temporal	2	10.69	series temporales	Nom Adjectif
componente teórico y numérico	2	10.69	componentes teóricos y numéricos	Nom Adjectif Coord_Conjunction Adjectif
tendencia econometrista	2	10.69	tendencia econometrista	Nom Nom
dinamización del sistema	2	10.69	dinamización del sistema	Nom Préposition Nom
proceso de clarificación	2	10.69	proceso de clarificación	Nom Préposition Nom
ecuación temporal	2	10.69	ecuación temporal	Nom Adjectif
ecuación de convergencia	2	10.69	ecuación de convergencia	Nom Préposition Nom
punto inicial	2	10.69	punto inicial	Nom Adjectif
cargo docente	2	10.69	cargo docente	Nom Adjectif
problema del ciclo económico	2	10.69	problemas del ciclo económico	Nom Préposition Nom Adjectif
publicación macrodinámicas	2	10.69	publicaciones macrodinámicas	Nom Nom
macrodinámicas de alcance	2	10.69	macrodinámicas de alcance	Nom Préposition Nom
teoría walrasiana	2	10.69	teoría walrasiana	Nom Nom
teoría agregativa	2	10.69	teoría agregativa	Nom Nom
matemáticamente	2	10.69	matemáticamente	Adverbe
simplificación agregativa	2	10.69	simplificación agregativa	Nom Adjectif
sugestivas indicación	2	10.69	sugestivas indicaciones	Nom Nom
introducción de retardo	2	10.69	introducción de retardos	Nom Préposition Nom
l. ª	2	10.69	l. ª	Nom Nom
ª ed	2	10.69	ª ed	Nom Adjectif
desarrollo crítico	2	10.69	desarrollo crítico	Nom Adjectif
riqueza de dato	2	10.69	riqueza de datos	Nom Préposition Nom
nuestro período	2	10.69	nuestro período	Nom Nom
macrodinámica moderno	2	10.69	macrodinámica moderna	Nom Adjectif
programa econométrico	2	10.69	programa econométrico	Nom Nom
valor del coeficiente	2	10.69	valor del coeficiente	Nom Préposition Nom
modelo en relación	2	10.69	modelos en relación	Nom Préposition Nom
cargo del estado	2	10.69	cargo del estado	Nom Préposition Nom
arquetipo de bien público	2	10.69	arquetipo de bien público	Nom Préposition Nom Adjectif
cantidad existente	2	10.69	cantidades existentes	Nom Adjectif
producto del periodo	2	10.69	productos del periodo	Nom Préposition Nom
existencia de convergencia económico	2	10.69	existencia de convergencia económica	Nom Préposition Nom Adjectif
tipo de tecnología lineal	2	10.69	tipo de tecnologías lineales	Nom Préposition Nom Adjectif
renta del país	2	10.69	renta del país	Nom Préposition Nom
unidad de renta	2	10.69	unidades de renta	Nom Préposition Nom
unidad de ahorro	2	10.69	unidad de ahorro	Nom Préposition Nom
reescribimos	2	10.69	reescribimos	Nom
modelización del progreso técnico	2	10.69	modelización del progreso técnico	Nom Préposition Nom Adjectif
congestiona	2	10.69	congestiona	Verbe
cosecha antiguo	2	10.69	cosechas antiguas	Nom Adjectif
validez del modelo neoclásico	2	10.69	validez del modelo neoclásico	Nom Préposition Nom Adjectif
heterogeneidad de autor	2	10.69	heterogeneidad de autores	Nom Préposition Nom
crecimiento endógeno	2	10.69	crecimiento endógeno	Nom Nom
introducción del modelo lineal	2	10.69	introducción del modelo lineal	Nom Préposition Nom Adjectif
modelo convexos	2	10.69	modelos convexos	Nom Adjectif
eaton	2	10.69	eaton	Verbe
estacionario del consumo	2	10.69	estacionario del consumo	Nom Préposition Nom
propiedad de rendimiento	2	10.69	propiedades de rendimientos	Nom Préposition Nom
utilidad de horizonte infinito	2	10.69	utilidad de horizonte infinito	Nom Préposition Nom Adjectif
término del corchete	2	10.69	término del corchete	Nom Préposition Nom
factor integrante	2	10.69	factor integrante	Nom Adjectif
parámetro factible	2	10.69	parámetros factibles	Nom Adjectif
proximidad del estado	2	10.69	proximidades del estado	Nom Préposition Nom
linealización del modelo neoclásico	2	10.69	linealización del modelo neoclásico	Nom Préposition Nom Adjectif
esquema agregativos	2	10.69	esquemas agregativos	Nom Adjectif
economía numérico	2	10.69	economía numérica	Nom Adjectif
ecuación definitorias	2	10.69	ecuaciones definitorias	Nom Adjectif
clase de economía doméstico	2	10.69	clases de economías domésticas	Nom Préposition Nom Adjectif
esquema agregativos	2	10.69	esquemas agregativos	Nom Nom
comportamiento de clase	2	10.69	comportamiento de clases	Nom Préposition Nom
método de correlaciones	2	10.69	método de correlaciones	Nom Préposition Nom
construcción del dispositivo teórico	2	10.69	construcción del dispositivo teórico	Nom Préposition Nom Adjectif
ecuación de equilibrio	2	10.69	ecuaciones de equilibrio	Nom Préposition Nom
nuestras serie	2	10.69	nuestras series	Nom Nom
omitirlo	2	10.69	omitirlo	Verbe
definición de agregado	2	10.69	definiciones de agregados	Nom Préposition Nom
proceso de sustitución sucesivo	2	10.69	procesos de sustitución sucesivos	Nom Préposition Nom Adjectif
esfuerzo de pionero	2	10.69	esfuerzo de pionero	Nom Préposition Nom
coeficiente de regresión parcial	2	10.69	coeficientes de regresión parcial	Nom Préposition Nom Adjectif
corriente internacional	2	10.69	corrientes internacionales	Nom Adjectif
aumento mundial	2	10.69	aumento mundial	Nom Adjectif
ciclo -por	2	10.69	ciclo -por	Nom Nom
me	2	10.69	me	Verbe
teoría del ciclo	2	10.69	teoría del ciclo	Nom Préposition Nom
quantitative	2	10.69	quantitative	Verbe
nota siguiente	2	10.69	nota siguiente	Nom Adjectif
nuestro ejemplo	2	10.69	nuestro ejemplo	Nom Nom
referencia bibliográfica	2	10.69	referencia bibliográfica	Nom Nom
trygve haavelmo	2	10.69	trygve haavelmo	Nom Nom
observación estadístico	2	10.69	observaciones estadísticas	Nom Adjectif
pero estridente	2	10.69	pero estridente	Nom Adjectif
centro de cultura	2	10.69	centros de cultura	Nom Préposition Nom
tautológicamente	2	10.69	tautológicamente	Adverbe
índice temporal	2	10.69	índices temporales	Nom Adjectif
expansión del comercio internacional	2	10.69	expansión del comercio internacional	Nom Préposition Nom Adjectif
puesto innecesario	2	10.69	puestos innecesarios	Nom Adjectif
mencionaríamos	2	10.69	mencionaríamos	Verbe
agregativa	2	10.69	agregativa	Verbe
docena escaso	2	10.69	docena escasa	Nom Adjectif
doctrina autocontenido	2	10.69	doctrina autocontenido	Nom Nom
consideración extra-estáticas	2	10.69	consideraciones extra-estáticas	Nom Adjectif
teoría dinámico	2	10.69	teoría dinámica	Nom Adjectif
teoría agregativa	2	10.69	teoría agregativa	Nom Adjectif
complicación inevitable	2	10.69	complicaciones inevitables	Nom Adjectif
deseo de simplificación	2	10.69	deseo de simplificación	Nom Préposition Nom
econometría &rsqb	2	10.69	econometría &rsqb	Nom Nom
método macrodinámicos	2	10.69	métodos macrodinámicos	Nom Adjectif
sistema de dinámica económico	2	10.69	sistema de dinámica económica	Nom Préposition Nom Adjectif
noción esencial	2	10.69	nociones esenciales	Nom Adjectif
ecuación de comportamiento	2	10.69	ecuaciones de comportamiento	Nom Préposition Nom
inexistencia de equilibrio competitivo	2	10.69	inexistencia de equilibrio competitivo	Nom Préposition Nom Adjectif
saneamiento ambiental	2	10.69	saneamiento ambiental	Nom Adjectif
solución subóptimas	2	10.69	soluciones subóptimas	Nom Adjectif
región de áfrica occidental	2	10.69	regiones de áfrica occidental	Nom Préposition Nom Adjectif
empleo de grupo	2	10.69	empleos de grupos	Nom Préposition Nom
política de inversión preferencial	2	10.69	política de inversión preferencial	Nom Préposition Nom Adjectif
solución en país	2	10.69	solución en países	Nom Préposition Nom
modelo de equilibrio general	2	10.69	modelos de equilibrio general	Nom Préposition Nom Adjectif
supuesto de comportamiento competitivo	2	10.69	supuesto de comportamiento competitivo	Nom Préposition Nom Adjectif
tercio del total mundial	2	10.69	tercio del total mundial	Nom Préposition Nom Adjectif
externalidades de capital	2	10.69	externalidades de capital	Nom Préposition Nom
integración internacional	2	10.69	integración internacional	Nom Adjectif
remesa de fondo	2	10.69	remesas de fondos	Nom Préposition Nom
ecuación diferencial	2	10.69	ecuación diferencial	Nom Adjectif
fenómeno de rendimiento	2	10.69	fenómenos de rendimientos	Nom Préposition Nom
tocadisco	2	10.69	tocadiscos	Nom
modelo de aumento	2	10.69	modelos de aumento	Nom Préposition Nom
gramófono	2	10.69	gramófono	Nom
técnica matemático	2	10.69	técnicas matemáticas	Nom Adjectif
superación paulatino	2	10.69	superación paulatina	Nom Adjectif
tipo de modelización	2	10.69	tipo de modelización	Nom Préposition Nom
tipo de problema dinámico	2	10.69	tipo de problemas dinámicos	Nom Préposition Nom Adjectif
justificación del término	2	10.69	justificación del término	Nom Préposition Nom
formalizaremos	2	10.69	formalizaremos	Verbe
dinámica de transición	2	10.69	dinámica de transición	Nom Préposition Nom
guerra tecnológico	2	10.69	guerra tecnológica	Nom Adjectif
dificultad matemático	2	10.69	dificultad matemática	Nom Adjectif
modelo de escalera	2	10.69	modelos de escaleras	Nom Préposition Nom
apéndice matemático	2	10.69	apéndice matemático	Nom Adjectif
tasa de avance técnico	2	10.69	tasa de avance técnico	Nom Préposition Nom Adjectif
faig	2	10.69	faig	Nom
punto de silla	2	10.69	punto de silla	Nom Préposition Nom
método de eliminación temporal	2	10.69	método de eliminación temporal	Nom Préposition Nom Adjectif
equilibrio del capital humano	2	10.69	equilibrio del capital humano	Nom Préposition Nom Adjectif
comportamiento cuantitativo y cualitativo	2	10.69	comportamiento cuantitativo y cualitativo	Nom Adjectif Coord_Conjunction Adjectif
tasa de equilibrio	2	10.69	tasa de equilibrio	Nom Préposition Nom
parámetro de productividad relevante	2	10.69	parámetro de productividad relevante	Nom Préposition Nom Adjectif
ahorrador de capital	2	10.69	ahorrador de capital	Nom Préposition Nom
tasa de progreso técnico	2	10.69	tasa de progreso técnico	Nom Préposition Nom Adjectif
trayectoria de consumo liso	2	10.69	trayectoria de consumo lisa	Nom Préposition Nom Adjectif
problema tratable	2	10.69	problema tratable	Nom Adjectif
literatura del crecimiento endógeno	2	10.69	literatura del crecimiento endógeno	Nom Préposition Nom Adjectif
audiocasete	2	10.69	audiocasete	Nom
economista neoclásico	2	10.69	economistas neoclásicos	Nom Adjectif
unidad efectivo	2	10.69	unidades efectivas	Nom Adjectif
problema del planificador	2	10.69	problema del planificador	Nom Préposition Nom
introducción del capital humano	2	10.69	introducción del capital humano	Nom Préposition Nom Adjectif
variable en relación	2	10.69	variables en relación	Nom Préposition Nom
orden del problema	2	10.69	orden del problema	Nom Préposition Nom
sentido condicional	2	10.69	sentido condicional	Nom Adjectif
gasto en bien	2	10.69	gasto en bienes	Nom Préposition Nom
crecimiento estacionaria	2	10.69	crecimiento estacionaria	Nom Nom
tasa final	2	10.69	tasa final	Nom Adjectif
stokey	2	10.69	stokey	Nom
crecimiento exógeno	2	10.69	crecimiento exógeno	Nom Nom
crecimiento del capital físico	2	10.69	crecimiento del capital físico	Nom Préposition Nom Adjectif
ausencia de rendimiento	2	10.69	ausencia de rendimientos	Nom Préposition Nom
expansión del numero	2	10.69	expansión del numero	Nom Préposition Nom
ecuación en término	2	10.69	ecuaciones en términos	Nom Préposition Nom
tipo de gravamen constante	2	10.69	tipo de gravamen constante	Nom Préposition Nom Adjectif
economía de familia productor	2	10.69	economía de familias productoras	Nom Préposition Nom Adjectif
ocasión trabajo	2	10.69	ocasiones trabajo	Nom Nom
circunflejo	2	10.69	circunflejo	Adjectif
renta salarial	2	10.69	rentas salariales	Nom Adjectif
familia maximizan	2	10.69	familias maximizan	Nom Nom
maximizaría	2	10.69	maximizaría	Verbe
condición terminal	2	10.69	condición terminal	Nom Adjectif
introducción de mercado	2	10.69	introducción de mercados	Nom Préposition Nom
producción de provisión público	2	10.69	producción de provisión pública	Nom Préposition Nom Adjectif
sustituto perfecto	2	10.69	sustitutos perfectos	Nom Adjectif
introducción de factor	2	10.69	introducción de factores	Nom Préposition Nom
parámetro constante	2	10.69	parámetro constante	Nom Adjectif
restricción habitual	2	10.69	restricciones habituales	Nom Adjectif
tecnología de educación	2	10.69	tecnología de educación	Nom Préposition Nom
factor de producción público	2	10.69	factor de producción público	Nom Préposition Nom Adjectif
nueva teoría	2	10.69	nueva teoría	Nom Nom
participación del producto	2	10.69	participación del producto	Nom Préposition Nom
técnica habitual	2	10.69	técnicas habituales	Nom Adjectif
través del tipo impositivo	2	10.69	través del tipo impositivo	Nom Préposition Nom Adjectif
factor de producción privado	2	10.69	factores de producción privados	Nom Préposition Nom Adjectif
peso del sector público	2	10.69	peso del sector público	Nom Préposition Nom Adjectif
valor intermedio	2	10.69	valores intermedios	Nom Adjectif
través de lucha político	2	10.69	través de luchas políticas	Nom Préposition Nom Adjectif
índice de experiencia	2	10.69	índice de experiencia	Nom Préposition Nom
través de enlace matrimonial	2	10.69	través de enlaces matrimoniales	Nom Préposition Nom Adjectif
tamaño del gobierno	2	10.69	tamaño del gobierno	Nom Préposition Nom
exponente del factor	2	10.69	exponente del factor	Nom Préposition Nom
práctica junto	2	10.69	práctica junto	Nom Adjectif
stock de conocimiento	2	10.69	stock de conocimientos	Nom Préposition Nom
ecuación de forma intuitiva	2	10.69	ecuación de forma intuitiva	Nom Préposition Nom Adjectif
constante de capital	2	10.69	constantes de capital	Nom Préposition Nom
volumen de capital inicial	2	10.69	volumen de capital inicial	Nom Préposition Nom Adjectif
variedad de fuente estadístico	2	10.69	variedad de fuentes estadísticas	Nom Préposition Nom Adjectif
modelo de ciclo económico	2	10.69	modelos de ciclos económicos	Nom Préposition Nom Adjectif
depreciación total	2	10.69	depreciación total	Nom Adjectif
stocks de capital individual	2	10.69	stocks de capital individuales	Nom Préposition Nom Adjectif
stock agregado	2	10.69	stock agregado	Nom Nom
tasa de descuento individual	2	10.69	tasa de descuento individual	Nom Préposition Nom Adjectif
cantidad de individuo	2	10.69	cantidad de individuos	Nom Préposition Nom
unidad relevante	2	10.69	unidad relevante	Nom Adjectif
imaginaremos	2	10.69	imaginaremos	Verbe
ak de crecimiento endógeno	2	10.69	ak de crecimiento endógeno	Nom Préposition Nom Adjectif
función del capital	2	10.69	función del capital	Nom Préposition Nom
medida del aumento	2	10.69	medida del aumento	Nom Préposition Nom
trayectoria estable	2	10.69	trayectoria estable	Nom Adjectif
argumento matemático	2	10.69	argumentos matemáticos	Nom Adjectif
comportamiento cualitativo	2	10.69	comportamiento cualitativo	Nom Adjectif
partiremos	2	10.69	partiremos	Verbe
maximizaría	2	10.69	maximizaría	Nom
gravamen constante y igual	2	10.69	gravamen constante e igual	Nom Adjectif Coord_Conjunction Adjectif
argumento gráfico	2	10.69	argumentos gráficos	Nom Adjectif
linealizaron	2	10.69	linealizaron	Verbe
cuestión modelo	2	10.69	cuestión modelos	Nom Nom
producto introducción	2	10.69	productos introducción	Nom Nom
escalera de calidad	2	10.69	escaleras de calidad	Nom Préposition Nom
destrucción creativo	2	10.69	destrucción creativa	Nom Adjectif
multiplicidad de equilibrio	2	10.69	multiplicidad de equilibrios	Nom Préposition Nom
maximización del valor presente	2	10.69	maximización del valor presente	Nom Préposition Nom Adjectif
eficiencia de ordenación	2	10.69	eficiencia de ordenación	Nom Préposition Nom
nimias diferencia	2	10.69	nimias diferencias	Nom Nom
volumen de bien público	2	10.69	volumen de bienes públicos	Nom Préposition Nom Adjectif
término constante	2	10.69	término constante	Nom Adjectif
diferencia del modelo neoclásico	2	10.69	diferencia del modelo neoclásico	Nom Préposition Nom Adjectif
ordenador existente	2	10.69	ordenadores existentes	Nom Adjectif
arrowhabía	2	10.69	arrowhabía	Verbe
supuesto de equilibrio fiscal	2	10.69	supuesto de equilibrio fiscal	Nom Préposition Nom Adjectif
elasticidad de sustitución constante	2	10.69	elasticidad de sustitución constante	Nom Préposition Nom Adjectif
hardware informático	2	10.69	hardware informático	Nom Adjectif
generación de ordenador	2	10.69	generaciones de ordenador	Nom Préposition Nom
fracaso empírico	2	10.69	fracaso empírico	Nom Adjectif
tecnología potenciadora	2	10.69	tecnología potenciadora	Nom Adjectif
reseña de tinbergen	2	10.69	reseña de tinbergen	Nom Préposition Nom
propagationproblems	2	10.69	propagationproblems	Nom
expresión &lsqb	2	10.69	expresión &lsqb	Nom Nom
precio de monopolio	2	10.69	precio de monopolio	Nom Préposition Nom
valor del alquiler	2	10.69	valor del alquiler	Nom Préposition Nom
individuo sujeto	2	10.69	individuos sujeto	Nom Adjectif
escala &lsqb	2	10.69	escala &lsqb	Nom Nom
ritmo de avance tecnológico	2	10.69	ritmo de avance tecnológico	Nom Préposition Nom Adjectif
restricción del conjunto	2	10.69	restricción del conjunto	Nom Préposition Nom
restricción usual	2	10.69	restricción usual	Nom Adjectif
tarea del economista teórico	2	10.69	tarea del economista teórico	Nom Préposition Nom Adjectif
producción de hipótesis estadístico	2	10.69	producción de hipótesis estadísticas	Nom Préposition Nom Adjectif
inversión en i+d	2	10.69	inversión en i+d	Nom Préposition Nom
valor del precio	2	10.69	valor del precio	Nom Préposition Nom
comportamiento temporal	2	10.69	comportamiento temporal	Nom Adjectif
condición de llamada	2	10.69	condiciones de llamada	Nom Préposition Nom
suscripción de participación	2	10.69	suscripción de participaciones	Nom Préposition Nom
año previsio	2	10.69	años previsio	Nom Nom
inversión español	2	10.69	inversión españoles	Nom Nom
fiamm inversión	2	10.69	fiamm inversión	Nom Nom
fim global	2	10.69	fim global	Nom Adjectif
peseta libreta	2	10.69	pesetas libreta	Nom Nom
diner	2	10.69	diner	Verbe
producto en peseta	2	10.69	productos en pesetas	Nom Préposition Nom
standard de viet	2	10.69	estándares de viet	Nom Préposition Nom
realización de actividad cultural	2	10.69	realización de actividades culturales	Nom Préposition Nom Adjectif
tarifa standard	2	10.69	tarifa estándar	Nom Adjectif
inmigrante de origen vietnamita	2	10.69	inmigrante de origen vietnamita	Nom Préposition Nom Adjectif
françoise	2	10.69	françoise	Adverbe
trabajador ocasional	2	10.69	trabajadora ocasional	Nom Adjectif
difieren	2	10.69	difieren	Nom
precio óptimo	2	10.69	precio óptimo	Nom Adjectif
aditivamente	2	10.69	aditivamente	Adverbe
ethier	2	10.69	ethier	Nom
separable	2	10.69	separable	Adjectif
spence	2	10.69	spence	Nom
beneficio corriente	2	10.69	beneficios corrientes	Nom Adjectif
tasa de alquiler	2	10.69	tasas de alquiler	Nom Préposition Nom
modelo dinámico	2	10.69	modelo dinámico	Nom Adjectif
formulación similar	2	10.69	formulación similar	Nom Adjectif
numerador	2	10.69	numerador	Nom
relación marginal	2	10.69	relación marginal	Nom Adjectif
parámetro tecnológico	2	10.69	parámetro tecnológico	Nom Adjectif
bien antiguo	2	10.69	bienes antiguos	Nom Adjectif
función de utilidad habitual	2	10.69	función de utilidad habitual	Nom Préposition Nom Adjectif
horizonte finito	2	10.69	horizonte finito	Nom Adjectif
modo propio	2	10.69	modo propio	Nom Adjectif
cantidad constante	2	10.69	cantidad constante	Nom Adjectif
reinterpretó	2	10.69	reinterpretó	Verbe
elasticidad constante	2	10.69	elasticidad constante	Nom Adjectif
momento inicial y infinito	2	10.69	momento inicial e infinito	Nom Adjectif Coord_Conjunction Adjectif
renta de alquiler	2	10.69	rentas de alquiler	Nom Préposition Nom
elemento de tipo intertemporal	2	10.69	elementos de tipo intertemporal	Nom Préposition Nom Adjectif
elasticidad de demanda	2	10.69	elasticidad de demanda	Nom Préposition Nom
capítulo presente	2	10.69	capítulo presente	Nom Adjectif
intuición económico	2	10.69	intuición económica	Nom Adjectif
dominio de técnica	2	10.69	dominio de técnicas	Nom Préposition Nom
orden del bien	2	10.69	orden del bien	Nom Préposition Nom
elección óptimo	2	10.69	elección óptima	Nom Adjectif
soporte libreta	2	10.69	soporte libreta	Nom Nom
ptas	2	10.69	ptas	Adjectif
causa de trabajador	2	10.69	causa de trabajadores	Nom Préposition Nom
variedad de capital	2	10.69	variedades de capital	Nom Préposition Nom
millones- en país	2	10.69	millones- en países	Nom Préposition Nom
resto -unos	2	10.69	resto -unos	Nom Nom
condición insalubres	2	10.69	condiciones insalubres	Nom Adjectif
condición de competencia imperfecto	2	10.69	condiciones de competencia imperfecta	Nom Préposition Nom Adjectif
función cobb-douglas	2	10.69	función cobb-douglas	Nom Nom
condición análogo	2	10.69	condiciones análogas	Nom Adjectif
coniectandi	2	10.69	coniectandi	Verbe
teoría hipótesis	2	10.69	teorías hipótesis	Nom Nom
varianza	2	10.69	varianza	Nom
stock de capital inicial	2	10.69	stock de capital inicial	Nom Préposition Nom Adjectif
